,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
AAON,0.5967741935483871,-0.07017543859649122,-0.14545454545454545,-0.18518518518518517,0.6515151515151515,0.0,0.03389830508474576,0.07692307692307693,0.06896551724137931,0.03571428571428571,0.16393442622950818,0.2682926829268293,0.168,0.125,0.05185185185185185,0.09836065573770492,0.25,0.15384615384615385,0.09230769230769231,0.19083969465648856,0.09352517985611511,0.02857142857142857,0.06569343065693431,0.08695652173913043,0.21428571428571427,-0.03546099290780142,0.11688311688311688,0.19760479041916168,-0.012048192771084338,-0.011494252873563218,0.016574585635359115,0.046632124352331605,0.011494252873563218
AIR,0.04242424242424243,-0.03067484662576687,-0.1834319526627219,-0.1836734693877551,-0.23178807947019867,0.0410958904109589,0.09933774834437085,-0.3006134969325153,-0.03496503496503497,-0.11278195488721804,0.12857142857142856,0.023255813953488372,0.1292517006802721,-0.04516129032258064,-0.04,0.0821917808219178,0.15584415584415584,-0.11627906976744186,0.08333333333333333,0.06918238993710692,0.21693121693121692,-0.10270270270270271,0.17204301075268819,0.015873015873015872,0.09523809523809523,-0.031914893617021274,-0.10784313725490197,0.023809523809523808,-0.16546762589928057,0.055900621118012424,-0.10588235294117647,0.09090909090909091,-0.11377245508982035
ABB,0.08013937282229965,0.09933774834437085,-0.13564668769716087,-0.21543408360128619,-0.09818181818181818,-0.2462686567164179,-0.1166077738515901,-0.011583011583011582,-0.09285714285714286,-0.24324324324324326,-0.04878048780487805,-0.11020408163265306,-0.00398406374501992,-0.03278688524590164,0.08679245283018867,0.12087912087912088,0.14615384615384616,0.31365313653136534,0.21604938271604937,-0.00911854103343465,0.14733542319749215,-0.21511627906976744,0.20364741641337386,-0.04938271604938271,0.003367003367003367,-0.06451612903225806,-0.13253012048192772,-0.18292682926829268,0.022222222222222223,0.07547169811320754,0.11363636363636363,0.12138728323699421,0.17142857142857143
ABCM,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44680851063829785,0.29411764705882354,0.19230769230769232
ACCO,0.05970149253731343,0.0136986301369863,0.0136986301369863,0.014285714285714285,0.11949685534591195,0.07446808510638298,-0.021739130434782608,-0.08139534883720931,-0.027932960893854747,-0.10714285714285714,0.11731843575418995,-0.07954545454545454,-0.037037037037037035,0.030612244897959183,-0.061224489795918366,-0.015384615384615385,-0.06896551724137931,0.04,0.028846153846153848,-0.07614213197969544,-0.010416666666666666,0.013824884792626729,-0.18478260869565216,-0.17073170731707318,0.07954545454545454,-0.03488372093023256,-0.023255813953488372,-0.12,-0.05521472392638037,-0.22784810126582278,0.0728476821192053,-0.059602649006622516,0.02040816326530612
ACNB,0.23076923076923078,0.375,0.09090909090909091,0.8181818181818182,-0.14285714285714285,0.14285714285714285,0.5,0.0,-0.16666666666666666,0.5294117647058824,0.25,0.6190476190476191,0.3170731707317073,0.38095238095238093,0.05,0.3333333333333333,0.2727272727272727,0.5217391304347826,-0.06976744186046512,0.2727272727272727,0.38181818181818183,0.26666666666666666,0.17647058823529413,0.2765957446808511,0.12195121951219512,0.23404255319148937,-0.037037037037037035,0.21739130434782608,-0.37777777777777777,0.12195121951219512,0.11627906976744186,-0.25925925925925924,-0.16279069767441862
ADCT,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.5,-1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.0,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.5,-0.5,0.5,0.5,0.0,0.3333333333333333,0.3333333333333333,1.0,-1.0,0.5,0.0,1.0,0.5319148936170213,0.0,0.1724137931034483,0.10204081632653061,-0.18181818181818182
ABM,0.1506849315068493,0.14457831325301204,-0.06748466257668712,0.027777777777777776,0.05,-0.0440251572327044,0.11764705882352941,0.1270718232044199,0.14,-0.061224489795918366,0.14720812182741116,-0.06951871657754011,-0.03125,0.025380710659898477,-0.1262135922330097,-0.01,-0.07262569832402235,0.07692307692307693,0.13846153846153847,0.2871287128712871,0.09090909090909091,0.033707865168539325,0.09844559585492228,0.0425531914893617,0.06521739130434782,-0.05319148936170213,-0.058823529411764705,0.05365853658536585,0.05365853658536585,0.13,0.11013215859030837,0.13157894736842105,0.053061224489795916
ADT,-0.11007025761124122,-0.04954954954954955,-0.16170212765957448,-0.1024390243902439,-0.06403940886699508,-0.09414758269720101,-0.04672897196261682,-0.04090909090909091,-0.09226932668329177,-0.07216494845360824,-0.18162839248434237,-0.9956140350877193,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,-1.0,1.0,0.04,1.0,-1.0,0.09302325581395349,0.05027932960893855,0.3302752293577982,0.00909090909090909,-0.049019607843137254,-0.08421052631578947,-0.046511627906976744
AEPI,0.02702702702702703,0.047619047619047616,-0.14285714285714285,-0.22580645161290322,-0.4074074074074074,0.12280701754385964,0.06451612903225806,-0.047619047619047616,0.4473684210526316,0.23076923076923078,0.023809523809523808,0.08235294117647059,0.1092436974789916,0.0,-0.9574468085106383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFL,0.03374233128834356,-0.08345534407027819,-0.08469945355191257,-0.04788732394366197,-0.08955223880597014,-0.18429003021148035,-0.09896602658788774,-0.0658682634730539,-0.0364963503649635,-0.035868005738880916,-0.03486750348675035,-0.022516556291390728,-0.09668874172185431,-0.09367088607594937,-0.12390488110137672,-0.07349081364829396,-0.10039113428943937,-0.007575757575757576,0.7667304015296367,-0.041128084606345476,-0.054502369668246446,-0.13194444444444445,-0.12791991101223582,-0.14908256880733944,-0.10423825887743414,-0.10337078651685393,-0.31637843336724314,-0.14823529411764705,-0.15489467162329615,-0.03415783274440518,-0.07475622968580715,0.020361990950226245,-0.053738317757009345
AGCO,0.04591836734693878,-0.05025125628140704,-0.012594458438287154,-0.07479224376731301,0.0,-0.16568047337278108,-0.11304347826086956,-0.14626865671641792,-0.17751479289940827,-0.12987012987012986,-0.10204081632653061,-0.24848484848484848,-0.04792332268370607,-0.189873417721519,-0.06790123456790123,-0.10030395136778116,-0.09385113268608414,0.027190332326283987,-0.023121387283236993,-0.07886435331230283,-0.05128205128205128,-0.12209302325581395,-0.07871720116618076,0.06358381502890173,-0.2123076923076923,-0.10163934426229508,-0.21341463414634146,-0.1972318339100346,-0.034482758620689655,0.11572700296735905,-0.04607046070460705,0.10236220472440945,-0.03684210526315789
GAS,1.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9952718676122931,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MITT,-0.14018691588785046,0.0784313725490196,-0.030927835051546393,0.1262135922330097,0.02857142857142857,0.038461538461538464,-0.05660377358490566,0.038461538461538464,0.02912621359223301,-0.16326530612244897,0.06930693069306931,-0.06521739130434782,0.08045977011494253,0.050505050505050504,0.018867924528301886,0.12,0.1875,-0.022222222222222223,-0.2826086956521739,0.2631578947368421,0.050505050505050504,0.16981132075471697,0.17355371900826447,0.12727272727272726,-0.04950495049504951,0.2545454545454545,0.01818181818181818,-0.23728813559322035,-0.5263157894736842,0.05084745762711865,0.02631578947368421,-0.14705882352941177,-0.7846153846153846
AES,-0.06358381502890173,0.14600550964187328,0.15119363395225463,-0.042328042328042326,-0.07526881720430108,0.0,-0.028871391076115485,0.10674157303370786,0.16753926701570682,-0.17391304347826086,0.05511811023622047,0.104,0.1,0.07981220657276995,0.09502262443438914,-0.02252252252252252,0.05045871559633028,-0.08636363636363636,0.09327548806941431,0.014925373134328358,0.00631578947368421,-0.07662082514734773,0.035916824196597356,0.0,-0.12890625,-0.05454545454545454,-0.12761904761904763,-0.10578842315369262,-0.10569105691056911,-0.09859154929577464,-0.03308823529411765,0.0035335689045936395,0.027829313543599257
AKS,0.104,0.19463087248322147,0.09289617486338798,-0.022222222222222223,0.31343283582089554,0.12796208530805686,-0.0053475935828877,-0.055900621118012424,0.006289308176100629,0.04054054054054054,0.20670391061452514,0.5196078431372549,0.06607929515418502,0.16728624535315986,0.021897810218978103,0.16541353383458646,-0.060240963855421686,0.016129032258064516,0.04417670682730924,-0.004484304932735426,0.027777777777777776,0.0,-0.009523809523809525,0.09375,-0.010638297872340425,-0.20202020202020202,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
ALCS,0.06666666666666667,0.14285714285714285,0.0,-0.5,-0.4117647058823529,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMLP,0.34532374100719426,0.14084507042253522,0.2229299363057325,0.30434782608695654,0.2672672672672673,0.312,0.07616707616707617,0.01,-0.09213483146067415,0.03624733475479744,-0.18201284796573874,0.12053571428571429,0.13478260869565217,0.14655172413793102,0.19298245614035087,0.109375,0.005893909626719057,-0.001763668430335097,0.05362776025236593,0.0033222591362126247,0.022146507666098807,-0.05956112852664577,-0.006097560975609756,-0.048513302034428794,-0.04700162074554295,-0.08157099697885196,-0.25761772853185594,-0.8847352024922118,-0.25279642058165547,0.14222222222222222,0.11406844106463879,0.08128544423440454,-0.05394190871369295
AMAG,0.046511627906976744,0.11578947368421053,0.0196078431372549,-0.04,0.017543859649122806,0.20833333333333334,0.3020833333333333,0.13170731707317074,0.21518987341772153,-0.14027149321266968,0.2275132275132275,-0.047058823529411764,-0.029585798816568046,0.20207253886010362,0.1267605633802817,0.00558659217877095,0.12994350282485875,-0.09090909090909091,-0.0658682634730539,0.1503267973856209,0.09090909090909091,0.017964071856287425,-0.04142011834319527,0.024096385542168676,-0.09333333333333334,-0.2845528455284553,-0.15966386554621848,-0.24528301886792453,-0.3673469387755102,-1.0,-1.0,0.0,1.0
AMCX,0.12403100775193798,0.038461538461538464,-0.048327137546468404,-0.04797047970479705,0.008547008547008548,-0.02564102564102564,0.21487603305785125,0.1259259259259259,0.10545454545454545,0.08896797153024912,0.11688311688311688,0.02280130293159609,-0.036303630363036306,-0.053003533568904596,-0.019230769230769232,-0.012987012987012988,-0.1134020618556701,-0.09034267912772585,-0.1365079365079365,-0.16463414634146342,-0.1038961038961039,-0.03492063492063492,-0.05198776758409786,-0.23174603174603176,-0.23624595469255663,-0.1476510067114094,-0.156794425087108,-0.0390625,-0.031746031746031744,-0.16535433070866143,-0.19083969465648856,-0.09871244635193133,-0.09345794392523364
AMN,0.3382352941176471,0.06040268456375839,0.025974025974025976,-0.08450704225352113,0.041666666666666664,-0.0625,0.2619047619047619,0.18446601941747573,0.08333333333333333,0.03765690376569038,0.07633587786259542,-0.06513409961685823,0.03355704697986577,-0.11578947368421053,-0.051094890510948905,0.11026615969581749,-0.004081632653061225,-0.09448818897637795,-0.04225352112676056,0.08496732026143791,-0.11564625850340136,-0.12195121951219512,0.023411371237458192,-0.06666666666666667,0.05058365758754864,0.061068702290076333,0.06188925081433225,-0.009287925696594427,-0.10726643598615918,0.0036900369003690036,0.035211267605633804,-0.01282051282051282,0.04046242774566474
ANIP,0.9310344827586207,0.36,0.59375,0.27058823529411763,0.07042253521126761,0.3465346534653465,0.2459016393442623,0.15789473684210525,0.104,0.0847457627118644,-0.016129032258064516,0.22580645161290322,0.4125,-0.02158273381294964,0.19736842105263158,0.034013605442176874,0.18461538461538463,0.0,0.04054054054054054,0.20512820512820512,0.024691358024691357,-0.1503267973856209,0.11949685534591195,0.22699386503067484,0.011764705882352941,-0.04819277108433735,-0.1895424836601307,-0.078125,-0.0847457627118644,0.0,-0.2571428571428571,0.0891089108910891,-0.20388349514563106
AOL,0.05976095617529881,-0.08045977011494253,0.022388059701492536,-0.13043478260869565,-0.058823529411764705,-0.06172839506172839,0.1624548736462094,-0.9935275080906149,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATNY,0.05555555555555555,0.0,0.06976744186046512,-0.16363636363636364,-0.10526315789473684,0.12,-0.12,-0.5,-0.058823529411764705,0.28,-0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARC,0.08888888888888889,0.12962962962962962,-0.0297029702970297,-0.009708737864077669,-0.08411214953271028,0.13178294573643412,-0.03333333333333333,-0.06976744186046512,-0.07017543859649122,0.04672897196261682,0.24752475247524752,0.04081632653061224,-0.13333333333333333,0.054945054945054944,0.17391304347826086,-0.17073170731707318,-0.024390243902439025,0.11827956989247312,-0.023809523809523808,-0.2391304347826087,-0.047619047619047616,-0.1044776119402985,-0.19402985074626866,-0.3870967741935484,-0.2222222222222222,-0.2692307692307692,-0.38461538461538464,-0.35294117647058826,-0.47058823529411764,0.034482758620689655,0.05263157894736842,-0.1891891891891892,0.09090909090909091
ARIS,1.0,1.0,0.5555555555555556,-0.25,0.75,0.1111111111111111,0.1111111111111111,0.38461538461538464,0.25,0.05263157894736842,0.6,-0.1,0.28,-0.043478260869565216,-0.08333333333333333,0.30434782608695654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T,-0.029814665592264304,-0.0593900481540931,0.0050323508267433505,0.04804138950480414,0.07509293680297398,0.02784048156508653,0.06284916201117319,-0.03851444291609354,0.38372093023255816,0.07949231796927188,0.14707692307692308,0.07635919364691508,0.01098901098901099,0.032736256948733784,-0.01738122827346466,0.06830122591943957,0.06682161533991865,-0.040641099026903264,-0.03626943005181347,0.36550406115623507,-0.008208594881699663,-0.21386138613861386,0.10239234449760766,0.1095890410958904,0.10153256704980843,0.06782945736434108,-0.03017241379310345,-0.028495102404274265,-0.06448683015440508,-0.12494361750112765,-0.010570824524312896,-0.09944985188319933,-0.17109929078014185
ATMI,0.07142857142857142,0.05172413793103448,-0.006711409395973154,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AACG,-0.6,0.5,-0.3333333333333333,-0.6,0.2,1.0,0.5,0.3333333333333333,0.09090909090909091,-0.2,0.0,-1.0,-0.3333333333333333,0.0,-0.42857142857142855,0.6,-0.7142857142857143,0.25,0.0,-1.0,1.0,-0.5,0.3333333333333333,0.2,0.5555555555555556,0.5555555555555556,-0.75,-0.6,0.0,-0.2,-0.2,0.42857142857142855,-0.5
ABIO,0.3333333333333333,0.6470588235294118,-0.3,0.1111111111111111,-0.23076923076923078,-0.3333333333333333,0.09090909090909091,0.29411764705882354,-1.0,-0.23076923076923078,0.5,0.25,-0.23076923076923078,-0.16666666666666666,0.09090909090909091,0.09090909090909091,0.38461538461538464,0.3333333333333333,0.14285714285714285,-0.06666666666666667,0.1111111111111111,-0.3333333333333333,0.1111111111111111,0.0,-0.1111111111111111,0.4,-0.2727272727272727,-0.75,0.5384615384615384,0.5,0.0,0.1111111111111111,0.2
ARCW,0.0,0.6,0.391304347826087,0.7209302325581395,0.13636363636363635,-0.2,-0.22580645161290322,-0.13513513513513514,-0.1111111111111111,0.06666666666666667,-0.125,-0.125,0.125,0.5294117647058824,0.25,0.0,-0.16666666666666666,0.0,0.3333333333333333,0.0,0.5,-0.45454545454545453,-0.3333333333333333,-0.2,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASBB,0.16666666666666666,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.125,0.1111111111111111,0.5,0.23076923076923078,0.07692307692307693,0.3333333333333333,0.125,-0.4666666666666667,-0.23076923076923078,-0.29411764705882354,0.4666666666666667,0.627906976744186,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUO,-0.2328767123287671,-0.06451612903225806,-0.22033898305084745,0.14754098360655737,-0.125,0.3707865168539326,0.34782608695652173,0.021739130434782608,0.07216494845360824,0.030303030303030304,-0.09523809523809523,-0.10204081632653061,0.1958762886597938,-0.10256410256410256,0.4807692307692308,0.15315315315315314,-0.13131313131313133,0.034482758620689655,0.23595505617977527,-0.04,0.14018691588785046,-0.08737864077669903,0.0,-0.21649484536082475,-0.32653061224489793,-0.8681318681318682,-0.8666666666666667,-0.6,-1.0,-0.5,0.0,-0.3333333333333333,0.0
AVHI,-0.05660377358490566,0.08695652173913043,-0.043478260869565216,0.12727272727272726,-0.2765957446808511,0.0,-0.06666666666666667,0.38181818181818183,0.0,0.21428571428571427,0.10204081632653061,0.11627906976744186,0.41379310344827586,0.34328358208955223,-0.07462686567164178,0.2,-0.1891891891891892,-0.06451612903225806,0.11864406779661017,0.1724137931034483,-0.13157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVX,-0.03636363636363636,0.11320754716981132,0.12149532710280374,-0.0196078431372549,-0.009708737864077669,0.05555555555555555,0.21739130434782608,0.06870229007633588,-0.046875,0.12307692307692308,0.21875,-0.09433962264150944,0.19327731092436976,0.088,0.1076923076923077,-0.031746031746031744,-0.0782608695652174,-0.0743801652892562,-0.007874015748031496,-0.03076923076923077,0.18666666666666668,-0.03067484662576687,0.0273972602739726,0.17880794701986755,-0.1095890410958904,-0.18055555555555555,-0.9389312977099237,0.0,0.0,0.0,0.0,0.0,0.0
AXTI,-0.56,0.02857142857142857,0.058823529411764705,0.037037037037037035,0.1875,0.2682926829268293,-0.2972972972972973,-0.037037037037037035,0.15384615384615385,-0.25,0.04,0.21052631578947367,0.38181818181818183,0.34328358208955223,0.2553191489361702,0.057692307692307696,0.01098901098901099,0.031578947368421054,-0.13131313131313133,0.18518518518518517,0.2345679012345679,-0.023255813953488372,-0.10256410256410256,0.2564102564102564,-0.037037037037037035,-0.09302325581395349,-0.09090909090909091,0.2087912087912088,-0.2087912087912088,-0.010101010101010102,0.047619047619047616,-0.1619047619047619,0.16
AZZ,-0.010638297872340425,-0.012658227848101266,-0.0967741935483871,-0.08571428571428572,-0.17647058823529413,-0.034482758620689655,0.006802721088435374,-0.03355704697986577,0.16778523489932887,0.11392405063291139,0.04294478527607362,0.08176100628930817,0.0,-0.028901734104046242,-0.032679738562091505,0.07913669064748201,0.050359712230215826,0.10144927536231885,0.05426356589147287,0.31666666666666665,0.19736842105263158,0.038461538461538464,0.12658227848101267,0.025974025974025976,0.19727891156462585,0.06097560975609756,-0.024390243902439025,0.14285714285714285,-0.05,-0.12418300653594772,-0.27848101265822783,-0.09554140127388536,-0.1048951048951049
AAN,0.06598984771573604,0.07537688442211055,-0.25961538461538464,0.09821428571428571,-0.3157894736842105,-0.15508021390374332,0.1076923076923077,0.1921182266009852,0.19327731092436976,-0.07053941908713693,0.0,0.1509433962264151,0.10526315789473684,0.008928571428571428,0.058823529411764705,0.024793388429752067,-0.06563706563706563,-0.08171206225680934,-0.078125,0.02702702702702703,-0.04905660377358491,-0.14624505928853754,-0.09363295880149813,-0.036231884057971016,-0.020833333333333332,0.050505050505050504,-0.24092409240924093,-0.055762081784386616,-0.13494809688581316,-0.9847328244274809,-0.04040404040404041,-0.054945054945054944,-0.11515151515151516
ABAX,0.03225806451612903,-0.06557377049180328,0.009174311926605505,-0.017857142857142856,-0.15,0.06569343065693431,-0.013157894736842105,0.0,-0.006802721088435374,0.06756756756756757,-0.0064516129032258064,0.03816793893129771,0.015625,0.0,0.10743801652892562,-0.008403361344537815,0.08943089430894309,0.05343511450381679,0.1320754716981132,0.01694915254237288,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
