,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
AAON,0.7909653245207579,0.07906817437293041,0.1152741016767324,0.19533247270746432,0.9029367627515134,-0.23860103211744343,0.4015146170510007,-0.09408309000474327,0.782769751352948,-0.7873869939131215,0.06657221277835292,-0.0411670129867166,0.13018098403280082,0.4677050696425058,0.6696067201572147,-0.12574365443294752,0.6179789968869392,0.15009670361294855,-0.03855751605984495,0.2010492146051288,0.29702025482499433,-0.09092692207011735,-0.19970194245457162,0.16976800241213372,0.3459031837966026,-0.3242865984869476,-0.48149861007082856,0.29207205960740784,0.09576585599255166,-0.057565657436617124,-0.17012751352366196,-0.1442270809359417,-0.12499851848113538
AIR,0.11606616442000012,0.31937413207941706,0.09420226892641666,-0.2428660224661545,-0.2861441190910885,-0.296225905122922,0.020561328938251414,-0.40014460215381104,0.37404024786397455,-0.5388479013744897,0.15129161088926585,-0.05114971997842402,0.020871962722303735,0.02922988863080308,0.6195803214973689,-0.10102395023906108,0.020293585435655476,0.0806734851677628,0.19269519765270499,0.18087199834281434,-0.26200461209082626,0.19051777666439854,-0.07343953239798832,0.061644499995842886,0.11167394474179446,-0.006830302424346567,-0.08640822279672741,-0.06927862969378899,-0.10263973260262042,0.12228642797198055,0.20217207923407504,-0.05622010000594305,0.1583224261648856
ABB,0.26151837193018757,-0.15204070788781662,0.33724917487496286,-0.13053617666457829,0.25479518210686736,-0.02175867726041057,0.16538312130300975,-0.5680186986654185,-0.06493834887043681,-0.21221934579431553,-0.41974637497793515,0.04055169345731374,-0.24013375482988464,-0.06558258351438549,0.5179928188337778,0.5830912306378377,0.31159885996824965,0.49129000561858954,0.3776917328885426,-0.4346009950424802,-0.28384843416161465,-0.44562953016311685,0.41188210831181304,-0.4806527066632777,0.3352539582545788,-0.2504277738987556,-0.35252559952053014,-0.4506427294017414,0.4210677090911442,0.2126591676703559,0.19827577074050415,-0.2507195312569433,0.3466038519193463
ABCM,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.733365835670302,0.3374176619659099,-0.1904707622855191
ACCO,0.017620983140029797,-0.14419085152745795,-0.06711660064288703,0.019632018731253614,-0.2143290612856403,-0.0692589980828196,0.05773416036606955,-0.09669202819958266,0.4452630841520083,-0.40118736076194106,-0.041002974307162966,-0.06172507871183027,-0.11194894154231226,-0.07548682518728722,0.4476016905776669,-0.07110214653606836,-0.2188509238267324,0.04351028023155527,0.16364471184362245,-0.3127121747498392,0.04856138227582644,-0.13911115376185243,0.5220442768580283,-0.43267070561502124,-0.2334613928445419,0.02272805221727656,-0.15548168453854802,0.0002645964409002162,-0.045651553994732225,-0.043766250096064996,-0.20261924384678145,-0.03582540223368369,0.02551463527857332
ACNB,0.7543871467546903,0.3804472089392617,0.9593689435925334,0.9905015197568389,-0.1011212035197275,0.7211466936237578,0.34000179689137794,0.0785244704163623,-0.6834112149532711,0.19832663989290494,0.7741846476463772,0.3267033325799242,0.8354519081187897,0.423799286541142,0.6718279720225404,0.7156472164027887,0.23777314493089335,0.6794365771789046,-0.2468255184691748,0.5842752735031095,0.39855072463768115,0.3717615383069782,0.44700041603106366,0.33152148135499965,0.4061978495532225,0.44880949178078505,0.37367743780383184,0.24538631206461545,-0.5871165372371061,0.4886323933117045,0.13178400218050054,-0.182281088635955,0.1477934638822024
ADCT,-1.0,-1.0,-1.0,1.0,0.003911342894393742,0.5666238864562887,0.1845095382049411,-1.0,1.0,0.4436949316277753,0.9959066325924165,-0.2998849527110819,0.23377413244825967,-0.9543788187372709,-0.944134706534488,-0.9879142241444265,0.9991382967440874,-0.7984167033788564,-0.7663311624235247,0.3546612623045744,-0.9832357637040979,0.9473549049820236,0.9902924991354257,1.0,-1.0,0.9977840123607384,-0.6019510753085507,1.0,0.8768023230517092,0.13869972773284603,0.21861634675106767,0.2290320766648766,-0.6392852097490646
ABM,-0.038197725261534976,0.08291466977948717,0.24406716704078352,-0.2728635984767077,0.16853860646276192,-0.04297402989889764,-0.13336549234141817,0.2525331432716046,0.3845993251249566,-0.47989088533527824,0.049706825452047146,0.009470251698697793,0.014983857577714234,0.07551539734077808,0.4581646076093305,0.03661795367374614,0.6618505636207186,0.29473113915974986,0.11535278836535519,0.014891722022211772,-0.023826341563964865,0.2519376639187203,-0.35853367016071963,0.07153770716350925,-0.14153462770284753,-0.15824793387508593,-0.06119758463683538,-0.1646491504587197,-0.08725878498456825,-0.005239954710680933,-0.017768666144481235,0.026732725813367726,0.09414643485948
ADT,-0.00864807580219833,0.017592018099959663,-0.1935954637189943,-0.08015669877971386,0.13236704015354403,0.2274757621687421,0.49507910352388657,-0.3873402364450295,-0.3578972131290314,0.26958035058581825,-0.2553335574237218,-0.9997798892763143,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7624250969333803,0.9071070887122709,-1.0,1.0,-0.06661574032439542,1.0,-1.0,-0.17667530180930593,-0.1961877413075796,-0.09461433087339781,0.3251418591468264,-0.07530413080057154,0.23045521755071766,0.12038466928853006
AEPI,-0.04367383627105775,0.5531552373657637,-0.2380005561636876,0.16600108125184937,-0.08672004853988279,-0.2996104668896856,-0.10701073565855787,-0.26719825637079087,0.8137344049586237,-0.7695254506617912,0.05134541339357154,-0.14567949107951716,-0.02981692489593273,-0.01396299088223621,-0.9496840103705588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
