PERMNO,PERMCO,HTICK,HTSYMBOL,CUSIP
10000,7952,,OMFGA,68391610
10001,7953,,EGAS,36720410
10002,7954,,BTFG,05978R10
10003,7957,,GCBK,39031810
10004,7960,,CLSO,18906310
10005,7961,,WERC,95815510
10006,22156,,,00080010
10007,7963,,SHRDC,81949130
10008,7964,,GACO,36547310
10009,7965,,IROQ,46334710
10010,7967,,CBOT,12709510
10011,9813,,ATCS,00206710
10012,7969,,DPAC,23326910
10013,7825,,AAPI,04045810
10014,22157,,,00147610
10015,6398,,AMFD,00016510
10016,1728,,SCTT,81002230
10017,7970,,CCUR,20670910
10018,7943,,DCIS,24750910
10019,7971,,IFRS,44950710
10020,7972,,KEYC,49307510
10021,7973,,BIRI,10488220
10022,22158,,,00299090
10023,22159,,,00035210
10024,7663,,DOCX,25590410
10025,7975,,AEPI,00103110
10026,7976,JJSF,JJSF,46603210
10027,7977,,TNII,87928510
10028,7978,ELA,ELA,29402E10
10029,7979,,,00136610
10030,22160,,,00338690
10031,6672,,ANTQE,00035410
10032,7980,PLXS,PLXS,72913210
10033,7981,,MABK,59591410
10034,7982,,HCSB,43687810
10035,7983,,GGUY,38209110
10036,7984,,NURO,64090210
10037,7985,,FBCP,35242V10
10038,7986,,POCIC,69348J10
10039,7987,,ATCM,00208K10
10040,7988,,HARYE,41741F20
10041,7989,,GGGG,35084910
10042,7990,,CAU,13886930
10043,7991,,AATI,03267210
10044,7992,RMCF,RMCF,77467X10
10045,7993,,OLVQE,68100210
10046,7994,,MENU,91354910
10047,7995,,LMNTQ,51362820
10048,7996,,CTYA,15650310
10049,22161,,,00369890
10050,13,,,00074210
10051,7999,HNGR,HNGR,41043F20
10052,8000,,VLVL,92656610
10053,8001,,CDNI,14190010
10054,8002,,BNUI,09057B10
10055,8003,,GRARE,39000520
10056,8005,,NMIL,65163310
10057,20020,,,00462610
10058,20,,ABKC,00077410
10059,8006,,OFSLY,68486520
10060,8007,,FSCNY,35614220
10061,8008,,USBK,91138J10
10062,8009,,ENSO,29409K60
10063,7842,,AHTS,02691310
10064,8010,,,90212810
10065,20023,ADX,ADX,00621210
10066,6331,FKWL,FKWL,35518410
10067,8011,,HYGA,44903510
10068,8012,,APGI,02913410
10069,8013,,AJIL,00387110
10070,8014,,DIGTE,25389410
10071,8015,,,01390210
10072,8016,,SMRXC,86563A10
10073,22162,,,00799090
10074,5271,,ABSIE,00078110
10075,8018,,VWRX,91843510
10076,8019,,SCAQE,80618710
10077,8020,,STRSQ,85207020
10078,8021,,JAVA,86681020
10079,8022,,GCCC,36938610
10080,8024,,MHCO,61576210
10081,22163,,,00899390
10082,5793,,ACSE,00087230
10083,8026,,CMTK,17185310
10084,8027,,CRCCC,22412810
10085,8029,,UCI,90273710
10086,8030,,LBSC,50215910
10087,8031,,BUTI,07465510
10088,7956,,VRBB,91828210
10089,8033,,ATGIE,02078110
10090,7390,,AMSE,02755950
10091,8034,,ITXI,45837810
10092,8035,,KDE,35086510
10093,8036,,AIRC,00929H10
10094,8037,,TUES,89903510
10095,8038,,SYGN,87159410
10096,8039,,CIBA,17411410
10097,7907,,FACE,30303130
10098,8040,,POLY,73168010
10099,8041,,ABCI,02461510
10100,8042,,ALRN,02713510
10101,8044,,PACR,69373C10
10102,22164,,,00929210
10103,52,,ACSC,00087410
10104,8045,ORCL,ORCL,68389X10
10105,8046,,TPPS,89053110
10106,8047,,LNSB,53473510
10107,8048,MSFT,MSFT,59491810
10108,8049,,SDS,86736310
10109,8050,,MWSB,62450810
10110,22165,,,00999290
10111,22166,,,00088410
10112,8053,,IFEX,45169410
10113,53202,AADR,AADR,00768Y20
10114,9831,,AKLME,00432520
10115,8057,,CSBN,20404010
10116,8028,,ACUR,00509L80
10117,8060,,UMBE,90277910
10118,8063,,COHY,20934910
10119,8064,,TW,90130N10
10120,8065,,,72408110
10121,8066,,MCOR,56823410
10122,8067,,MDBK,58413110
10123,9754,,AK,00452710
10124,8070,,LERN,52201410
10125,8055,,,52668F10
10126,8072,,,68241910
10127,8074,,PBFI,69955610
10128,8075,,DTEKE,25469V10
10129,22167,,,01699090
10130,8076,,FSTC,31958810
10131,8077,,SBTC,78387710
10132,8078,,NIBCA,63644610
10133,8080,,TELQ,87949110
10134,8082,,EGCS,29171410
10135,8084,,FARKC,32019B10
10136,8085,,CABL,20337810
10137,20045,,AYE,01736110
10138,8087,TROW,TROW,74144T10
10139,9830,,ADFCC,00718010
10140,8089,,SRCO,81213810
10141,8090,,GNDR,36471910
10142,8091,,IMTC,45290910
10143,8092,,OSIP,67104010
10144,8058,,NICE,63651510
10145,22168,HON,HON,43851610
10146,314,,AECE,00101510
10147,8093,,EMC,26864810
10148,8094,,TRADE,89268220
10149,8095,,EBSI,26942C10
10150,8096,,TLII,87255510
10151,53202,,AGLS,00768Y40
10152,8099,,ADTI,00742210
10153,22169,,,01964510
10154,81,,AELNA,00103010
10155,8079,,ELGTD,28485330
10156,8100,,JHSL,41133710
10157,8101,,NSBK,66248810
10158,53454,AMRC,AMRC,02361E10
10159,8103,,ICTXE,45866T10
10160,8105,,SAND,79977820
10161,20063,,,02312710
10162,88,,,00103210
10163,8106,,XRIT,98385710
10164,8107,,CAAN,13214710
10165,8109,,LBNK,50589210
10166,8110,,LLEC,54276710
10167,6311,,EVAAQ,29251130
10168,7814,,ARNXC,04262410
10169,8112,,PADCE,84890610
10170,8113,,RYFL,30705920
10171,8114,,CTWLE,16190610
10172,8115,,GNTE,38733010
10173,8116,,SEAB,81151110
10174,8117,,JNBK,47424310
10175,8118,,BARYQ,06889130
10176,8119,,TECC,88346910
10177,8120,,DMCO,25146410
10178,8121,,GBFE,38080410
10179,8122,,RCSB,74937110
10180,9743,,AKRX,00972810
10181,8124,,MUNIE,62591210
10182,8125,,TECD,87823710
10183,10090,,ERCO,26890210
10184,9699,,ALFE,01538910
10185,8128,,MRLL,59017510
10186,8129,,SWCC,84479710
10187,7966,,HPLX,42191810
10188,22170,,,02314110
10189,93,,AFAP,00103810
10190,8104,,CLRQC,19680710
10191,8130,,TXEL,88290230
10192,8131,,MSCA,55353310
10193,8071,,OSPY,68840210
10194,8132,,SOMR,83470610
10195,1221,,CTCOB,20334920
10196,22171,,,02366390
10197,22172,,,00105210
10198,8133,,DELA,24528210
10199,8134,,ARBR,03876010
10200,8135,RGEN,RGEN,75991610
10201,53455,,AT,04878Q86
10202,8137,,CWCC,14053010
10203,8138,,PSBN,72356K10
10204,8139,,UNTL,91325210
10205,8140,,LSBX,50215P10
10206,8141,,ESPC,28190020
10207,9806,FUND,FUND,85208J10
10208,8143,,ISTC,45778910
10209,22173,,,02399290
10210,8144,,FSBG,32019D10
10211,8145,,WES,95790710
10212,7278,,IFRA,45683430
10213,8146,,ATVC,03029010
10214,8147,,SIGN,72754010
10215,8052,,VVCOE,91288R10
10216,7183,,XCED,98160920
10217,22174,,,02437510
10218,109,,AFPC,00105810
10219,8148,,TLSS,87992210
10220,53456,BWXT,BWXT,05605H10
10221,8150,,IMSR,45244010
10222,8151,,FTTR,35832120
10223,53458,,CIS,13322V10
10224,7611,,SHIP,75884810
10225,20067,,BEAM,07373010
10226,22175,,,00108010
10227,8153,,KISC,49446810
10228,8154,,IFNDE,45867R10
10229,8155,,NACS,65679810
10230,8156,,ANDB,03425810
10231,8157,,CBNH,20363010
10232,8158,ESBK,ESBK,28966010
10233,22176,,,02473510
10234,118,,AGMN,00122010
10235,8159,,FOTO,71940B10
10236,8160,,WEBS,94780010
10237,8161,,SURG,46040710
10238,8164,,GLK,39091410
10239,714,,PTVCB,74368L20
10240,8167,,WOMN,97815810
10241,22177,,,74158710
10242,8168,,TRFI,89323N10
10243,8169,,AFED,04765910
10244,8170,,UDET,73154730
10245,8171,,SHLY,82282410
10246,8172,,MIDS,59543310
